"","AR1","VAR1","VAR3","t1","t7","f1","f7"
"3/1/1959",NA,NA,NA,NA,NA,NA,NA
"6/1/1959",NA,NA,NA,NA,NA,NA,NA
"9/1/1959",NA,NA,NA,NA,NA,NA,NA
"12/1/1959",NA,NA,NA,NA,NA,NA,NA
"3/1/1960",1.98385270367667,NA,NA,NA,NA,NA,NA
"6/1/1960",-0.720113249795664,NA,NA,NA,NA,NA,NA
"9/1/1960",-1.2025675469325,NA,NA,NA,NA,NA,NA
"12/1/1960",-1.95206786640395,NA,NA,NA,NA,NA,NA
"3/1/1961",-0.232292991175133,NA,NA,NA,NA,NA,NA
"6/1/1961",1.47002768547678,NA,NA,NA,NA,NA,NA
"9/1/1961",1.78534933060577,3.21679976611084,NA,NA,NA,NA,NA
"12/1/1961",1.49120936202047,-1.84520451837872,NA,NA,NA,NA,NA
"3/1/1962",1.01917589162908,0.602992007291143,NA,-0.177449252589917,-0.177449252589917,-0.177449252589928,-0.177449252589928
"6/1/1962",-0.0187030940483366,1.04577939581163,NA,-0.968709613895195,-0.968709613895195,-0.966225324358947,-0.962321440801969
"9/1/1962",0.382684837352173,2.47682281896734,NA,-0.320957184398031,-0.320957184398031,-0.253269592229258,-0.21175781102971
"12/1/1962",-0.573367619168153,-0.102177875423051,NA,-1.14032936009632,-1.14032936009632,-1.07235855546022,-0.979427258309005
"3/1/1963",0.298771447245451,1.44790553518353,NA,-0.14959073189342,-0.14959073189342,-0.0915158608482955,0.0665477424879686
"6/1/1963",0.255097194063869,-0.922490504620371,NA,-0.0941118226844875,-0.0941118226844875,0.0520282628632438,0.050948087504648
"9/1/1963",1.31314920124293,1.22805257249512,NA,0.995645729929982,0.995645729929982,1.05490822240446,1.03765993739599
"12/1/1963",-0.393529486486838,-2.13830367649232,NA,-0.671642009068576,-0.671642009068576,-0.931907644336038,-0.957619111450669
"3/1/1964",1.19195280513813,1.04626314082243,NA,0.855634543199595,0.855634543199595,0.851887051690074,0.794091902943645
"6/1/1964",0.0611412140233616,-0.675672094973927,NA,-0.249447320124827,-0.249447320124827,-0.0850399010584102,-0.206086986862436
"9/1/1964",0.559775628720777,0.45785991166695,NA,0.246796685415132,0.246796685415132,0.309444757487208,0.27555243537368
"12/1/1964",-0.735467313163076,-0.0702746304091507,NA,-1.02719851318374,-1.02719851318374,-0.790862449877121,-0.935129206207178
"3/1/1965",1.43441089702239,1.2257690209103,NA,1.1626967783217,1.1626967783217,0.985728984315788,1.15055619829382
"6/1/1965",0.262713091991843,-0.45686999075078,NA,-0.0768066225079975,-0.0768066225079975,0.249568432352262,-0.109393393926701
"9/1/1965",1.1610819628554,0.123643672522983,0.516269770628472,0.888267852183426,0.888267852183426,0.643186994483982,0.864357182910791
"12/1/1965",1.21064519360283,1.6553134247663,1.66079480645401,0.913539295656914,0.913539295656914,1.38159241092109,0.965640155089103
"3/1/1966",1.22945267307874,1.74027117975552,-14.6802456615897,0.989989983064905,0.989989983064905,0.707261631287025,0.641237986548892
"6/1/1966",-0.984932972317838,-1.28837325438093,-4.95783929723352,-1.15763625751048,-1.15763625751048,-1.0198436245947,-1.53618493119661
"9/1/1966",-0.281498773838574,-0.536580288857768,-1.96619889130513,-0.591404943794402,-0.591404943794402,-0.754797993385232,-0.774688111690586
"12/1/1966",-0.320759138105516,0.00755808439726002,0.20521805414004,-0.19146495711885,-0.19146495711885,-0.255704464544228,-0.49904359259818
"3/1/1967",-0.241663738311892,0.54384319492885,-0.115007444664887,-0.111591405290439,-0.111591405290439,-0.481523503955415,-0.409977882962166
"6/1/1967",-1.06134046136792,-0.275029437410841,-1.52465818701051,-0.927875364772757,-0.927875364772757,-1.12094392572271,-1.06624740265567
"9/1/1967",-0.0737084724379811,0.410271956523717,-0.360665538497065,-1.05792035446917,-1.05792035446917,-0.623480535770742,-0.270225705210858
"12/1/1967",-0.334052396745418,0.510806980174792,0.387877159819304,-1.13247743851453,-1.13247743851453,-0.474332125745053,-0.490306857726617
"3/1/1968",0.97814316705495,1.00090691343663,1.32101873384709,0.478290362124596,0.478290362124596,0.763822601552475,1.01679580164531
"6/1/1968",0.483575150550683,1.76575515530318,4.48542343062018,0.0556189202630075,0.0556189202630075,0.342712639854181,0.310153898843747
"9/1/1968",-0.406833682858095,0.720824115609106,-0.36342708339465,-0.843314906394534,-0.843314906394534,-1.01256334212612,-0.593836152512216
"12/1/1968",-0.70197865318636,-0.337850701231648,3.26916490291616,-0.892733892960877,-0.743515532157188,-0.868753481735656,-0.607113301732459
"3/1/1969",0.525994202218546,1.05257031146688,1.96809205071231,0.360219201687153,-0.000932882792235468,0.308989877292391,0.580070647895505
"6/1/1969",-0.847835284553225,0.0864903381384855,0.74452533519004,-0.333692864978787,-1.67588152300163,-0.6949699549353,-0.854141366588816
"9/1/1969",-0.384040465745327,0.204121604801373,-0.376366747397166,-1.13316975307546,-1.30524495880097,-0.666809002073367,-0.495052580741829
"12/1/1969",-1.5409447426721,-0.328058614108166,0.90103393517529,-2.34853479643119,-2.54719127507655,-1.71921489243755,-1.37737908049111
"3/1/1970",-1.0423825419946,-0.132400724349985,0.69539041165622,-0.939662697035582,-1.9869514921272,-1.69004948794507,-0.877439980636699
"6/1/1970",-0.70026237866249,0.190955799924048,1.53707220752382,-0.59398771845826,-0.368877345987675,-0.599494688216227,-0.171161907958066
"9/1/1970",0.074661144312478,0.815187822703407,0.888661590648311,-0.602192194246827,0.43911866357203,-0.233732029974945,0.434298389089962
